internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
56717,Pristimantis librarius,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,librarius,,,,,"(Flores &amp; Vigle, 1994)","Because of its close resemblance with the abundant and widespread <em>Pristimantis ockendeni</em>, it is probable that specimens of this species are misidentified in museum collections.<br/><br/>Specimens previously reported from Morona Santiago (e.g.<em>,</em>QCAZA41883, QCAZA41884) actually belong to other species, such as <em>Pristimantis incomptus</em> (M. Ortega-Andrade pers. comm. 2021). The specimen from the locality Serena Village, Río Jatun Yacu, Napo Province (Elmer 2004) is now assigned to <em>Pristimantis matidiktyo</em> (Ortega-Andrade and Valencia 2012). Specimens reported from Loreto, Peru actually correspond to <em>Pristimantis academicus</em> (QCAZ 55641–42 = IIAP 501/502; M. Ortega-Andrade unpubl. data. 2021)."
59032,Theloderma bicolor,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Theloderma,bicolor,,,,,"(Bourret, 1937)",
54569,Rhinella amboroensis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Rhinella,amboroensis,,,,,"(Harvey &amp; Smith, 1993)","There is a great deal of uncertainty around the validity of this species. It may be conspecific with <em>R. quechua</em> (Bolivia Red List Assessment Workshop 2019), as examination of the holotype suggests that it corresponds to the description of&#160;<em>R. quechua</em> (Quinteros-Muñoz 2010)."
55424,Dendropsophus cachimbo,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Dendropsophus,cachimbo,,,,,"(Napoli &amp; Caramaschi, 1999)",This species was previously within the genus <em>Hyla</em> but has since been moved to the resurrected genus <em>Dendropsophus</em> (Faivovich <em>et al.</em> 2005).
55536,Boana leucocheila,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Boana,leucocheila,,,,,"(Caramaschi &amp; Niemeyer, 2003)","This species was previously within the genus&#160;<em>Hyla</em>, then was moved to the resurrected genus&#160;<em>Hypsiboas&#160;</em>(Faivovich&#160;<em>et al.</em>&#160;2005) and subsequently to the genus&#160;<em>Boana</em>&#160;(Dubois 2017)."
55677,Dendropsophus tintinnabulum,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Dendropsophus,tintinnabulum,,,,,"(Melin, 1941)",This species was previously within the genus <em>Hyla</em> but was moved to the resurrected genus <em>Dendropsophus</em> (Faivovich <em>et al.</em> 2005).
55692,Tepuihyla warreni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Tepuihyla,warreni,,,,,"(Duellman &amp; Hoogmoed, 1992)","This species was previously considered as&#160;<em>incertae sedis</em>,<em>&#160;</em>however the validity of this species has now been confirmed (Jungfer <em>et al</em>. 2013)."
55794,Osteocephalus fuscifacies,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Osteocephalus,fuscifacies,,,,,"Jungfer, Ron, Seipp &amp; Almendariz, 2000",
55943,Scinax castroviejoi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Scinax,castroviejoi,,,,,"De la Riva, 1993","This species has a distinct call from those of <em>Scinax fuscovarius</em> and <em>S. nasius</em>, species with which it shares similar phenotypic characteristics."
172132927,Pristimantis dundeei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,dundeei,,,,,"(Heyer &amp; Muñoz, 1999)","Silqueira <em>et al</em>. (2008) suggested on karyological evidence that the population from Aripuanã is unnamed. Subsequently, Padial and De la Riva (2009) named this population as <em>Pristimantis koehleri</em> and noted that the reports of this species from central Bolivia by Köhler (2000) was also based on the new species. In addition,&#160;<em>P. ventrigranulosus </em>has been place in synonymy with <em>P. dundeei </em>(Neves <em>et al.</em> in press)."
